Institution Name,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Social Impact,Environmental Impact,Governance,Equality,Knowledge Exchange,Impact of Education,Employability and Opportunities,Health and Wellbeing,Environmental Sustainability,Environmental Education,Environmental Research,Class
Pontificia Universidad Católica del Perú,48.4,61.6,33.2,1.6,4,1.3,38.1,33,67.6,47.1,84,61.5,83.9,62.2,64.5,62.6,37.8,35.5,70.7,3
Gwangju Institute of Science and Technology (GIST),13.8,9,38.6,100,18.6,8.8,27,2.2,44.9,54.6,60.3,41.6,41.2,34,50.9,70.6,17.9,73.8,69.2,3
York University,22.7,18.6,3.9,22.6,53.1,78.7,65.5,76.3,85.9,70.2,90.2,98.8,81.6,82.1,72.7,90.1,55.6,65,90,3
Sultan Qaboos University,18.6,17.1,55.6,21.9,100,3.2,78.8,51.5,70.2,61.6,87.3,72,78.4,58.8,65.2,75.2,40.4,67.2,75.7,3
Xiamen University,23.6,16.2,19,72.2,5.1,3.1,62.6,46,65.3,48.7,27.7,50.7,77,61.8,73.5,64.6,15.9,53.9,77,3
University of Illinois at Chicago (UIC),38.5,28.3,31.1,23.3,8,19.3,83.8,30.5,75.9,54.3,31.4,70,67.4,78,88.5,73.4,32.4,53.9,76.7,3
Saint Petersburg State University,36.3,30.5,59.4,4.6,4.9,38.9,83.9,71.7,47.5,39.2,38.6,43.4,70.1,41.4,49.3,24.9,17.1,61.9,33,3
Westfälische Wilhelms-Universität Münster ,31.6,22.8,64.5,10,30.5,4.5,82,35.8,82.4,58.4,80.8,80.3,79.2,85.1,77.8,93.8,40,47.5,90.6,3
Mahidol University,44.1,21.8,81.1,4.7,4.9,4.2,57.2,9.8,74.6,62.5,69.1,78.8,86.9,44.7,73.7,79.1,53.7,61.3,70.4,3
University of Jordan,32.9,46.7,19.5,3.5,21.2,43.5,67,82.1,62.1,60,83.3,64.1,81.7,56.4,48.9,56.3,61.7,64.6,48.5,3
